Start	Message	Estimated p1	Estimated p2	PAYOFF	Simulations
1509	OK	     1.12636	     2.84061	             -150746	176775
1510	OK	     2.74841	     2.29538	           -0.407494	177020
1511	OK	    0.626302	     2.98922	             -217737	177110
1512	OK	     2.74899	     2.29515	           -0.631055	177385
1513	OK	     3.24616	     2.09485	            -28490.2	177467
1514	OK	     2.74828	     2.29542	           -0.497799	177770
1515	OK	     1.89688	     2.59637	            -53806.3	177856
1516	OK	     2.74737	     2.29581	          -0.0832894	178140
1518	OK	     1.05169	     2.86331	             -160848	178236
1519	OK	   0.0456112	     3.15502	             -290863	178350
1520	OK	   0.0540805	     3.15213	             -289631	178451
1521	OK	           0	     3.17222	             -300093	178517
1522	OK	     1.28356	      2.7921	             -129536	178625
1523	OK	     2.20845	     2.49162	            -24112.5	178762
1525	OK	     1.54605	     2.71047	            -95552.9	178851
1526	OK	     2.74715	     2.29603	            -0.47133	179084
1527	OK	     1.11004	     2.84562	             -152968	179189
1528	OK	    0.146534	     3.12664	             -278711	179286
1529	OK	    0.396999	     3.05553	             -247518	179390
1530	OK	           0	     3.17336	             -301645	179447
1531	OK	    0.281825	     3.08784	             -261810	179550
1532	OK	    0.307983	     3.08094	             -258772	179636
1534	OK	     2.74775	     2.29561	           -0.476762	179910
1535	OK	     2.74841	     2.29538	           -0.440401	180188
1536	OK	      2.7473	     2.29577	           -0.607126	180472
1537	OK	     2.39581	     2.42535	            -10864.2	180550
1538	OK	     2.74707	     2.29607	           -0.535373	180776
1540	OK	    0.581862	     3.00228	             -223641	180870
1541	OK	     3.23775	     2.09842	            -27477.6	180949
1542	OK	     1.19865	     2.81884	             -141157	181048
1543	OK	   0.0561691	      3.1519	             -289533	181152
1544	OK	    0.292308	     3.08535	             -260713	181246
1545	OK	     2.74545	      2.2966	           -0.384894	181563
1546	OK	     2.74547	     2.29659	           -0.382601	181872
1547	OK	     2.74724	     2.29596	           -0.164712	182160
1548	OK	     3.16738	     2.12874	            -19627.5	182386
1549	OK	    0.264551	     3.09286	             -264012	182488
1551	OK	     2.74738	     2.29592	            -0.29168	182800
1553	OK	   0.0832487	     3.14411	             -286209	182909
1554	OK	     1.90322	     2.59497	            -53343.9	182987
1555	OK	           0	      3.1767	             -307542	183077
1556	OK	   0.0855316	     3.14364	             -286007	183156
1558	OK	    0.939166	     2.89667	             -175838	183240
1559	OK	     2.74835	     2.29561	           -0.865399	183522
1560	OK	     2.74549	     2.29658	           -0.375601	183800
1562	OK	     1.31737	     2.78162	             -125038	183907
1563	OK	      2.7451	      2.2967	           -0.508878	184210
1565	OK	     2.74344	     2.29761	            -5.36658	184378
1566	OK	     1.84632	      2.6134	            -59488.3	184467
1567	OK	    0.221647	     3.10483	             -269252	184579
1568	OK	      2.7482	     2.29545	           -0.491251	184874
1569	OK	     2.74827	     2.29552	          -0.0760235	185066
1571	OK	   0.0254737	     3.16003	             -292991	185158
1573	OK	    0.873608	     2.91664	             -184860	185249
1574	OK	     2.74722	     2.29605	           -0.923663	185449
1575	OK	    0.809574	      2.9355	             -193402	185539
1577	OK	     2.25017	     2.47688	            -20754.9	185628
1578	OK	    0.675538	     2.97478	             -211202	185723
1580	OK	     2.73893	     2.29865	            -13.7249	185813
1582	OK	    0.964567	     2.88969	             -172699	185924
1583	OK	     3.51646	     1.97489	            -72974.5	185999
1585	OK	   0.0471493	     3.15403	             -290443	186096
1586	OK	    0.148855	     3.12601	             -278442	186197
1587	OK	    0.655242	     2.98086	             -213956	186291
1588	OK	     2.74611	     2.29632	           -0.158895	186488
1590	OK	           0	     3.17224	             -300111	186569
1591	OK	     1.58777	     2.69708	            -90254.3	186655
1593	OK	     3.39401	     2.03093	            -49703.4	186777
1595	OK	   0.0371613	     3.15692	             -291667	186881
1596	OK	     1.25979	     2.79986	             -132879	186989
1597	OK	   0.0388675	     3.15681	             -291621	187091
1598	OK	    0.761582	     2.94961	             -199796	187174
1599	OK	      1.0427	     2.86578	             -161953	187276
1600	OK	   0.0504181	      3.1531	             -290046	187377
1601	OK	   0.0814288	     3.14497	             -286585	187485
1602	OK	     2.74597	     2.29642	           -0.287217	187802
1603	OK	     1.26521	     2.79825	             -132182	187902
1604	OK	     1.94191	     2.58226	            -49261.5	187993
1605	OK	     2.74618	      2.2961	            -2.02972	188294
1606	OK	     2.38985	     2.42736	            -11196.9	188368
1609	OK	    0.286249	     3.08657	             -261254	188474
1610	OK	     2.74721	     2.29606	            -1.00504	188688
1611	OK	   0.0502806	     3.15369	             -290299	188782
1614	OK	     2.79298	     2.27801	            -223.393	188866
1616	OK	    0.264626	     3.09319	             -264155	188964
