Start	Message	Estimated p1	Estimated p2	PAYOFF	
1982	OK	    0.354055	     44.9308	       -6.08597e+162	
1984	OK	     6.76024	     27.1516	       -6.32655e+101	
1985	OK	      8.9092	     10.5273	         -2.7891e+41	
1986	OK	     9.98245	     72.2791	       -3.25238e+273	
1987	OK	     7.05322	     28.7522	       -1.11351e+108	
1990	OK	     5.16247	     58.2681	       -7.62787e+216	
1992	OK	     7.09656	     49.3717	       -1.83219e+185	
1993	OK	     3.04708	     27.1838	        -4.97437e+98	
1994	OK	      5.4416	     72.6312	       -7.68908e+270	
1995	OK	     3.97667	     65.0702	       -2.05448e+241	
1997	OK	     2.61122	     40.5143	       -1.63712e+148	
1999	OK	     7.52498	     76.0704	       -3.70176e+285	
2000	OK	     8.28827	      78.911	       -7.30589e+296	
2001	OK	      8.6398	      65.235	       -9.54364e+245	
2003	OK	     3.46122	     13.2967	        -1.19449e+47	
2005	OK	     8.98879	     18.5853	        -4.71503e+71	
2006	OK	     8.00449	     28.9053	       -2.79397e+109	
2009	OK	     6.56577	     56.3915	       -1.19475e+211	
2010	OK	     9.68922	     74.3239	        -8.1507e+280	
2011	OK	      5.4957	     73.9034	       -4.95004e+275	
2012	OK	     9.10366	     78.3764	       -3.72472e+295	
2013	OK	     9.28462	      68.976	       -3.48716e+260	
2014	OK	     8.18879	     25.6859	        -3.59775e+97	
2015	OK	     2.15756	     25.5863	        -8.80266e+91	
2016	OK	     4.09692	     13.6278	        -7.38989e+48	
2017	OK	     8.43872	     61.1835	       -4.36875e+230	
2019	OK	     4.42739	     48.2306	       -4.71592e+178	
2020	OK	     5.42619	      56.159	       -1.64914e+209	
2022	OK	     4.74123	     77.3996	       -1.33571e+288	
2023	OK	     6.16748	     6.71177	        -6.50283e+24	
2024	OK	     6.48035	     25.9601	        -1.25438e+97	
2025	OK	     5.76042	     34.7985	       -3.59088e+129	
2026	OK	     3.28291	     72.5837	       -6.81084e+268	
2027	OK	     7.90038	      26.693	       -1.18818e+101	
2028	OK	     4.68969	     42.8247	        -4.6489e+158	
2029	OK	     2.12411	     63.4296	       -3.65561e+233	
2031	OK	     4.69561	     81.0079	       -3.90813e+301	
2033	OK	     4.16567	      67.902	        -1.1925e+252	
2035	OK	     4.32003	     55.7551	       -5.55091e+206	
2036	OK	     4.84521	     1.50739	        -2.67539e+06	
2037	OK	     9.95184	     34.7553	       -1.08125e+133	
2039	OK	     3.99672	     64.0443	       -3.09146e+237	
2040	OK	     2.39062	     28.3054	       -2.11153e+102	
2041	OK	     9.14068	     20.1689	        -5.40103e+77	
2043	OK	    0.541069	     22.8963	        -2.96236e+80	
2046	OK	      7.1544	     4.58351	        -7.04607e+17	
2047	OK	     5.42707	     2.25871	        -1.03922e+09	
2048	OK	     9.28234	      50.625	       -7.12676e+191	
2049	OK	     4.16102	     66.5274	       -8.45835e+246	
2051	OK	     8.72751	      6.5608	        -2.98877e+26	
2052	OK	     3.45919	     62.9392	       -7.70459e+232	
2053	OK	     3.87989	      34.888	       -1.80567e+128	
2054	OK	     2.93205	     22.8842	        -3.18539e+82	
2055	OK	      8.9204	     27.2746	       -1.37383e+104	
2056	OK	     4.10701	       67.54	       -4.67934e+250	
2058	OK	     5.87746	    0.373964	        -3.21282e+06	
2059	OK	     3.50898	     64.2005	       -4.47921e+237	
2060	OK	     4.41169	     36.1162	       -2.06911e+133	
2061	OK	      3.0055	     15.4022	        -3.64923e+54	
2062	OK	     8.75498	     51.0714	       -1.16284e+193	
2064	OK	     3.64633	     78.1784	       -1.22963e+290	
2066	OK	     7.69485	     59.4335	       -2.78074e+223	
2067	OK	     3.57363	     32.0101	       -1.65546e+117	
2069	OK	      2.7268	     18.2825	        -1.26106e+65	
2070	OK	     1.88042	     57.1946	       -1.03144e+210	
2071	OK	     9.79402	     18.7245	        -7.82771e+72	
2072	OK	     2.48685	      15.507	        -3.18956e+54	
2073	OK	     7.60373	      61.822	       -2.01836e+232	
2074	OK	     2.81234	     23.2123	        -4.23975e+83	
2075	OK	     2.45173	     69.4757	       -3.00594e+256	
2076	OK	     2.90612	     64.2058	       -1.40385e+237	
2077	OK	     1.72694	     4.22444	        -7.13538e+11	
2079	OK	     8.39926	     7.24681	        -5.54264e+28	
2080	OK	     7.18816	     54.5175	       -4.01115e+204	
2081	OK	      4.8757	     65.6916	       -2.62788e+244	
2083	OK	     4.80751	     58.1558	       -1.42498e+216	
2084	OK	     4.45767	      38.617	       -5.20096e+142	
2085	OK	     8.01822	     35.7321	       -1.02465e+135	
2086	OK	     3.80749	     80.9004	       -2.61972e+300	
2087	OK	     5.87966	     48.3953	       -3.56091e+180	
2088	OK	     9.11374	     4.66751	        -7.10924e+19	
