Variable,Coefficient,p-value
Intercept,0.8674689165712524,0.08524582881210753
vagueness_scaled,-0.35141091184775086,0.48750038074867286
series_b_dummy,-0.8674689165679991,0.9012530409840952
high_integration_cost,0.4577710220532065,0.9058439644619658
vagueness_scaled:series_b_dummy,0.35141091184447915,0.960138729779761
vagueness_scaled:high_integration_cost,-0.5687666097656918,0.8835303945025776
series_b_dummy:high_integration_cost,0.05549779385635702,0.7598257768034946
vagueness_scaled:series_b_dummy:high_integration_cost,0.05549779385618692,0.7598257768045674
