Variable,Coefficient,Std Error,z-value,p-value,CI Lower,CI Upper,Sig
Intercept,-0.7564871770991588,14.189746206852927,-0.05331224153493414,0.9574831267389364,-28.56787869229474,27.05490433809642,
vagueness_scaled,-10.957284970248766,18.737339807357177,-0.5847833834953674,0.5586933786418384,-47.68179615875751,25.767226218259978,
series_b_dummy,-28.115871194201258,16.802194505706645,-1.673345180277021,0.09425936301829145,-61.047567286623064,4.815824898220544,
vagueness_scaled:series_b_dummy,34.008562953594826,22.41891283951985,1.5169586142306084,0.12927713330727203,-9.931698784406677,77.94882469159633,
log_series_a_amount,0.2526574188081954,0.10944640503195102,2.308503588897565,0.02097114345415754,0.038146406708188085,0.46716843090820276,*
employees,0.39599035734182714,0.17039941621898075,2.3238950351387286,0.020131120432232922,0.06201363856597453,0.7299670761176797,*
