,count,mean,std,min,25%,50%,75%,max
vagueness,72.0,16.25646136721723,8.409353145125424,0.0,11.428571428571429,18.421052631578945,22.5,27.906976744186046
team_size,72.0,8.819444444444445,2.8940268202466144,2.0,7.0,9.0,11.0,15.0
early_funding_musd,72.0,6.492157906869482,1.3937807601377343,3.5269390885290792,5.671464929553326,6.231594710821826,7.188016742480974,9.787916568581485
prior_exit,,0.16666666666666666,0.3752933125204008,0.0,,,,1.0
later_success,,0.9166666666666666,0.27832496965309156,0.0,,,,1.0
