CompanyID,CompanyName,CompanyLegalName,Description,Keywords,Employees,YearFounded,HQLocation,HQCity,HQState_Province,HQCountry,Website,BusinessStatus,CompanyFinancingStatus,FirstFinancingDate,FirstFinancingDealType,FirstFinancingSize,LastFinancingDate,LastFinancingDealType,LastFinancingSize
100000-81,NY State Restaurant Association (Restaurant & Foodservice Operations),,Operator of a restaurant and food service show.,"food service show, restaurant show, show",,,,,,United States,,Generating Revenue,Formerly PE-Backed,08/15/2013,Buyout/LBO,,08/15/2013,Buyout/LBO,
100000-90,JB Education (Primary & Secondary Schools),,"Provider of educational services. The company operates upper secondary schools, learning institute and primary schools across Sweden.","educational training, learning institute, secondary school",,,"Jönköping, Sweden",Jönköping,,Sweden,,Generating Revenue,Formerly PE-Backed,08/15/2013,Buyout/LBO,,08/15/2013,Buyout/LBO,
100001-08,Zana,"The Zana Project, Inc.","Provider of an entrepreneur mentoring platform. The company is a virtual Silicon Valley incubator for entrepreneurs. It provides on-demand access to mentors, experts and peer-lead coaching, with the goal of helping entrepreneurs run a successful business.","incubator, mentoring, online training",14.0,2012.0,"San Francisco, CA",San Francisco,California,United States,www.zana.io,Generating Revenue,Formerly VC-backed,,Accelerator/Incubator,,01/13/2016,Merger/Acquisition,
100001-53,Vantage Bank Texas,"Vantage Bancorp, Inc.",Operator of a commercial bank intended to provide traditional banking products and services. The company's services focus on providing dedicated banking services to small and medium-sized commercial businesses by offering a full range of traditional banking products along with the technologically advanced products of larger institutions through various delivery channels.,"deposit product, depository product, loans product, sba lending, treasury product",90.0,1923.0,"San Antonio, TX",San Antonio,Texas,United States,www.vantage.bank,Generating Revenue,Private Equity-Backed,01/01/2008,Merger/Acquisition,,04/01/2018,Corporate,
100001-71,Pollo Regio,"El Pollo Regio, Inc.",Operator of a chain of restaurants specializing in grilled chicken. The company operates in a Hispanic-focused chicken format that serves open flame-grilled chicken alongside other basic Mexican dishes.,"grilled chicken, restaurant chain, restaurant chain company, restaurant chain concept, restaurant chain firm, restaurant chain opertaor",79.0,1995.0,"Fort Worth, TX",Fort Worth,Texas,United States,www.polloregio.com,Generating Revenue,Private Equity-Backed,,PE Growth/Expansion,,,PE Growth/Expansion,
100001-98,Pronto Pawn,"Plaza Financial Services, Inc.","Provider of debt financing services based in Laredo, Texas. The company provides secured, non-recourse loans commonly referred to as pawn lawns.","consumer finance, debt finance, mortgage finance, mortgage loan, non-recourse loans, pawn financing, pawn shop",,1997.0,"Laredo, TX",Laredo,Texas,United States,,Generating Revenue,Private Equity-Backed,,PE Growth/Expansion,,,PE Growth/Expansion,
100002-07,Pequeno Mexico Operating Company,"Pequeno Mexico Operating Company, Inc.","Operator of an entertainment and commercial venue based in Fort Worth, Texas. The company services include open-air market, authentic Mexican food court with live music, beer festivals, rodeos, weddings, live concerts and dances, car shows and corporate gatherings.","commercial destination, live concerts, rodeos, special events, sporting events",3.0,2007.0,"Fort Worth, TX",Fort Worth,Texas,United States,www.pequenomexico.net,Generating Revenue,Private Equity-Backed,11/01/2012,PE Growth/Expansion,,11/01/2012,PE Growth/Expansion,
100002-25,Yogurtland Franchising,"Yogurtland Franchising, Inc.","Operator of a chain of frozen yogurt restaurants. The company offers delicious and healthy frozen yogurt made by proprietary recipes, milk and fresh-cut fruit without antibiotics and added hormones, thereby allowing consumers to enjoy traditional and exotic flavors and place their order online.","dairy product, franchise chain, frozen yogurt, frozen yogurt branding, milk product, yogurt restaurant",698.0,2006.0,"Irvine, CA",Irvine,California,United States,www.yogurt-land.com,Profitable,Private Equity-Backed,,PE Growth/Expansion,,,PE Growth/Expansion,
