,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-1.3865017930129167,0.011988933412591156,-115.64846890856603,0.0,-1.4099996707146443,-1.363003915311189
z_V,-0.01861911717664788,0.011509177856734413,-1.61776257248064,0.10571377522362403,-0.04117669126751322,0.003938456914217459
F_flexibility,-0.0259540886868146,0.05676780056471249,-0.45719736238905745,0.6475291940193155,-0.13721693327520362,0.08530875590157444
z_V:F_flexibility,0.013019010943729115,0.05792412802367967,0.2247597225530418,0.8221662011293381,-0.10051019381857029,0.12654821570602853
